-166	4.4765671970
-164	4.5524890920
-162	4.6641264480
-160	4.8111434430
-158	4.9931635860
-156	5.2097701790
-154	5.4605068220
-152	5.7448779690
-150	6.0623495320
-148	6.4123495320
-146	6.7942687960
-144	7.2074617000
-142	7.6512469520
-140	8.1249084270
-138	8.6276960370
-136	9.1588266430
-134	9.7174850140
-132	10.302824810
-130	10.913969640
-128	11.550014080
-126	12.210024840
-124	12.893041830
-122	13.598079400
-120	14.324127500
-118	15.070152900
-116	15.835100500
-114	16.617894540
-112	15.426096150
-110	14.270307380
-108	13.150063480
-106	12.064898300
-104	11.014344270
-102	9.9979323990
-100	9.0151922470
-98	8.0656519310
-96	7.1488381050
-94	6.2642759500
-92	5.4114891730
-90	4.5900000000
-88	3.7993291730
-86	3.0389959500
-84	2.3085181050
-82	1.6074119310
-80	0.9351922470
-78	0.2913723990
-76	-0.324535726
-74	-0.913021696
-72	-1.474576516
-70	-2.009692621
-68	-2.518863855
-66	-3.002585458
-64	-3.461354046
-62	-3.895667593
-60	-4.306025404
-58	-4.692928096
-56	-5.056877573
-54	-5.398376994
-52	-5.717930754
-50	-6.016044443
-48	-6.293224825
-46	-6.549979800
-44	-6.786818370
-42	-7.004250606
-40	-7.202787610
-38	-7.382941475
-36	-7.545225252
-34	-7.690152903
-32	-7.818239264
-30	-7.930000000
-28	-8.025951563
-26	-8.106611147
-24	-8.172496643
-22	-8.224126593
-20	-8.262020143
-18	-8.286696994
-16	-8.298677356
-14	-8.298481896
-12	-8.286631691
-10	-8.263648178
-8	-8.230053101
-6	-8.186368463
-4	-8.133116474
-2	-8.070819497
0	-8.000000000
2	-7.921180503
4	-7.834883526
6	-7.741631537
8	-7.641946899
10	-7.536351822
12	-7.425368309
14	-7.309518104
16	-7.189322644
18	-7.065303006
20	-6.937979857
22	-6.807873407
24	-6.675503357
26	-6.541388853
28	-6.406048437
30	-6.270000000
32	-6.133760736
34	-5.997847097
36	-5.862774748
38	-5.729058525
40	-5.597212390
42	-5.467749394
44	-5.341181630
46	-5.218020200
48	-5.098775175
50	-4.983955557
52	-4.874069246
54	-4.769623006
56	-4.671122427
58	-4.579071904
60	-4.493974596
62	-4.416332407
64	-4.346645954
66	-4.285414542
68	-4.233136145
70	-4.190307379
72	-4.157423484
74	-4.134978304
76	-4.123464274
78	-4.123372399
80	-4.135192247
82	-4.159411931
84	-4.196518105
86	-4.246995950
88	-4.311329173
90	-4.390000000
92	-4.483489173
94	-4.592275950
96	-4.716838105
98	-4.857651931
100	-5.015192247
102	-5.189932399
104	-5.382344274
106	-5.592898304
108	-5.822063484
110	-6.070307379
112	-6.338096145
114	-6.625894542
116	-6.934165954
118	-7.263372407
120	-7.613974596
122	-7.986431904
124	-8.381202427
126	-8.798743006
128	-9.239509246
130	-9.703955557
132	-10.19253517
134	-10.70570020
136	-11.24390163
138	-11.80758939
140	-12.39721239
142	-13.01321852
144	-13.65605475
146	-14.32616710
148	-15.02400074
150	-15.75000000
152	-16.50460844
154	-17.28826885
156	-18.10142336
158	-18.94451341
160	-19.81797986
162	-20.72226301
164	-21.65780264
166	-22.62503810
168	-23.62440831
170	-24.65635182
